sentence,sentiment,predicted_sentiment
Astle 9-0-53-1 ( w-1 nb-1 ),0,1
New Zealand innings,1,1
B. Young c Moin Khan b Waqar 5,1,1
C. Spearman c Moin Khan b Wasim 0,0,1
A. Parore c Ijaz Ahmad b Saqlain 37,1,1
S. Fleming c and b Afridi 88,1,1
C. Cairns b Saqlain 10,1,1
N. Astle c Ijaz Ahmad b Salim Malik 20,0,1
C. Harris lbw b Wasim 22,0,0
L. Germon lbw b Afridi 2,0,1
J. Vaughan c Moin Khan b Wasim 13,1,1
S. Doull c subs ( M. Wasim ) b Waqar 1,0,1
R. Kennedy not out 7,1,1
Extras ( b-9 lb-3 w-12 nb-2 ) 26,0,1
Total ( all out in 42.1 overs ) 231,1,1
Fall of wickets : 1-3 2-7 3-125 4-146 5-170 6-190 7-195,0,1
8-213 9-216 .,1,1
"Bowling : Wasim Akram 8.1-0-43-3 ( 9w , 1nb ) , Waqar Younis",1,1
"6-0-32-2 ( 2w , 1nb ) , Saqlain Mushtaq 8-0-54-2 , Mushtaq Ahmad",1,0
"10-0-42-0 ( 1w ) , Shahid Afridi 7-0-40-2 , Salim Malik 2.5-0-8-1 ,",1,0
Ijaz Ahmad 0.1-0-0-0 .,0,1
Result : Pakistan won by 46 runs .,1,1
"Third one-day match : December 8 , in Karachi .",0,0
SOCCER - ENGLISH F.A. CUP SECOND ROUND RESULT .,1,1
LONDON 1996-12-06,1,1
Result of an English F.A. Challenge,1,1
Cup second round match on Friday :,1,1
Plymouth 4 Exeter 1,1,1
SOCCER - BLINKER BAN LIFTED .,0,0
LONDON 1996-12-06,1,1
Dutch forward Reggie Blinker had his indefinite suspension lifted by FIFA on Friday and was set to make his Sheffield Wednesday comeback against Liverpool on Saturday .,1,1
"Blinker missed his club s""          slapped a worldwide ban on him for appearing to sign contracts for both Wednesday and Udinese while he was playing for Feyenoord .",0,0
"FIFA s""   "" status committee , meeting in Barcelona , decided that although the Udinese document was basically valid , it could not be legally protected .",0,1
"The committee said the Italian club had violated regulations by failing to inform Feyenoord , with whom the player was under contract .",0,1
"Blinker was fined 75,000 Swiss francs ( $ 57,600 ) for failing to inform the Engllsh club of his previous commitment to Udinese .",0,1
"SOCCER - LEEDS ""            FRACAS .",0,1
LONDON 1996-12-06,1,1
"Leeds ""              4,500 pounds ( $ 7,400 ) on Friday for hurling chairs at restaurant staff during a disturbance at a McDonald s""     ",0,0
"Bowyer , 19 , who was caught in the act by security cameras , pleaded guilty to a charge of affray at a court in London .",0,1
He was fined and ordered to pay a total of 175 pounds to two members of staff injured in the fracas in an east London restaurant in October .,0,1
"Leeds had already fined Bowyer 4,000 pounds ( $ 6,600 ) and warned him a repeat of his criminal behaviour could cost him his place in the side .",0,0
"Bowyer , who moved to the Yorkshire club in August for 3.5 million pounds ( $ 5.8 million ) , was expected to play against Middlesbrough on Saturday .",1,1
BASKETBALL - EUROLEAGUE STANDINGS .,1,0
LONDON 1996-12-06,1,0
"Standings in the men s"" ",1,0
"basketball championship after Thursday s""    tabulate under",1,1
"played , won , lost , points ) :",1,1
Group A,1,1
CSKA Moscow ( Russia 9 6 3 15,1,1
Stefanel Milan ( Italy ) 9 6 3 15,1,1
Maccabi Tel Aviv ( Israel ) 9 5 4 14,1,0
Ulker Spor ( Turkey ) 9 4 5 13,1,1
Limoges ( France ) 9 3 6 12,1,1
Panionios ( Greece ) 9 3 6 12,1,0
Group B,1,0
Teamsystem Bologna ( Italy ) 9 7 2 16,1,0
Olympiakos ( Greece ) 9 5 4 14,1,1
Cibona Zagreb ( Croatia ) 9 5 4 14,1,0
Alba Berlin ( Germany ) 9 5 4 14,1,1
Estudiantes Madrid ( Spain ) 9 5 4 14,1,1
Charleroi ( Belgium ) 9 0 9 9,1,1
Group C,1,0
Panathinaikos ( Greece ) 9 7 2 16,1,1
Ljubljana ( Slovenia ) 9 6 3 15,1,0
Villeurbanne ( France ) 9 6 3 15,1,1
Barcelona ( Spain ) 9 4 5 13,1,1
Split ( Croatia ) 9 4 5 13,1,0
Bayer Leverkusen ( Germany ) 9 0 9 9,1,1
Group D,1,1
Efes Pilsen ( Turkey ) 9 7 2 16,1,1
Pau-Orthez ( France ) 9 5 4 14,1,1
Partizan Belgrade ( Yugoslavia ) 9 5 4 14,1,1
Kinder Bologna ( Italy ) 9 4 5 13,1,1
Sevilla ( Spain ) 9 4 5 13,1,1
Dynamo Moscow ( Russia ) 9 2 7 11,1,1
RUGBY UNION - LITTLE TO MISS CAMPESE FAREWELL .,1,1
Robert Kitson,1,1
LONDON 1996-12-06,1,1
"Centre Jason Little will miss Australia s""  fixture against the Barbarians at Twickenham on Saturday .",0,1
Little has opted not to risk aggravating the knee injury which ruled him out of a large chunk of the tour and is replaced by fellow Queenslander Daniel Herbert .,0,1
"Owen Finegan has recovered from the knocks he took in last weekend s""            place in the back-row ahead of Daniel Manu .",1,1
The Wallabies have their sights set on a 13th successive victory to end their European tour with a 100 percent record but also want to turn on the style and provide David Campese with a fitting send-off in his final match in Australian colours .,1,0
"The Wallabies currently have no plans to make any special presentation to the 34-year-old winger but a full house of 75,000 spectators will still gather in the hope of witnessing one last moment of magic .",1,1
"Campese will be up against a familiar foe in the shape of Barbarians captain Rob Andrew , the man who kicked Australia to defeat with a last-ditch drop-goal in the World Cup quarter-final in Cape Town .",1,1
""" Campo has a massive following in this country and has had the public with him ever since he first played here in 1984 , "" said Andrew , also likely to be making his final Twickenham appearance .",1,0
"On tour , Australia have won all four tests against Italy , Scotland , Ireland and Wales , and scored 414 points at an average of almost 35 points a game .",1,0
"League duties restricted the Barbarians ""  options but they still boast 13 internationals including England full-back Tim Stimpson and recalled wing Tony Underwood , plus All Black forwards Ian Jones and Norm Hewitt .",1,1
Teams :,1,0
"Barbarians - 15 - Tim Stimpson ( England ) ; 14 - Nigel Walker ( Wales ) , 13 - Allan Bateman ( Wales ) , 12 - Gregor Townsend ( Scotland ) , 11 - Tony Underwood ( England ) ; 10 - Rob Andrew ( England ) , 9 - Rob Howley ( Wales ) ; 8 - Scott Quinnell ( Wales ) , 7 - Neil Back ( England ) , 6 - Dale McIntosh ( Pontypridd ) , 5 - Ian Jones ( New Zealand ) , 4 - Craig Quinnell ( Wales ) , 3 - Darren Garforth ( Leicester ) , 2 - Norm Hewitt ( New Zealand ) , 1 - Nick Popplewell ( Ireland ) .",1,0
"Australia - 15 - Matthew Burke ; 14 - Joe Roff , 13 - Daniel Herbert , 12 - Tim Horan ( captain ) , 11 - David Campese ; 10 - Pat Howard , 9 - Sam Payne ; 8 - Michael Brial , 7 - David Wilson , 6 - Owen Finegan , 5 - David Giffin , 4 - Tim Gavin , 3 - Andrew Blades , 2 - Marco Caputo , 1 - Dan Crowley .",1,1
GOLF - ZIMBABWE OPEN SECOND ROUND SCORES .,1,1
HARARE 1996-12-06,1,0
"Leading second round scores in the Zimbabwe Open at the par-72 Chapman Golf Club on Friday ( South African unless stated ) : 132 Des Terblanche 65 67 133 Mark McNulty ( Zimbabwe ) 72 61 134 Steve van Vuuren 65 69 136 Nick Price ( Zimbabwe ) 68 68 , Justin Hobday 71 65 ,",1,0
"Andrew Pitts ( U.S. ) 69 67 138 Mark Cayeux ( Zimbabwe ) 69 69 , Mark Murless 71 67 139 Hennie Swart 75 64 , Andrew Park 72 67 140 Schalk van der Merwe ( Namibia ) 67 73 , Desvonde",1,1
"Botes 72 68 , Greg Reid 72 68 , Clinton Whitelaw 70",1,1
"70 , Brett Liddle 75 65 , Hugh Baiocchi 73 67 141 Adilson da Silva ( Brazil ) 72 69 , Sammy Daniels 73",1,1
"68 , Trevor Dodds ( Namibia ) 72 69 142 Don Robertson ( U.S. ) 73 69 , Dion Fourie 69 73 ,",1,1
"Steve Waltman 72 70 , Ian Dougan 73 69",1,1
SOCCER - UNCAPPED PLAYERS CALLED TO FACE MACEDONIA .,0,0
BUCHAREST 1996-12-06,1,1
Romania trainer Anghel Iordanescu called up three uncapped players on Friday in his squad to face Macedonia next week in a World Cup qualifier .,1,0
Midfielder Valentin Stefan and striker Viorel Ion of Otelul Galati and defender Liviu Ciobotariu of National Bucharest are the newcomers for the European group eight clash in Macedonia on December 14 .,1,1
"Iordanescu said he had picked them because of their good performances in the domestic championship in which National Bucharest are top and Otelul Galati third . """,1,1
"I think it s""                  told reporters .",1,1
"League title-holders Steaua Bucharest , who finished bottom of their Champions ""        European Cup , have only two players in the squad .",0,1
"Attacking midfielder Adrian Ilie , who recently moved from Steaua to Turkish club Galatasaray , is ruled out after two yellow-card offences .",0,1
Squad :,1,1
"Goalkeepers - Bogdan Stelea , Florin Prunea .",1,0
"Defenders - Dan Petrescu , Daniel Prodan , Anton Dobos , Cornel Papura , Liviu Ciobotariu , Tibor Selymess , Iulian Filipescu .",1,1
"Midfielders - Gheorghe Hagi , Gheorghe Popescu , Constantin Galca , Valentin Stefan , Basarab Panduru , Dorinel Munteanu , Ovidiu Stinga .",1,0
"Forwards - Ioan Vladoiu , Gheorghe Craioveanu , Ionel Danciulescu , Viorel Ion .",1,1
REUTER,0,0
SOCCER - BRAZILIAN CHAMPIONSHIP RESULTS .,1,0
RIO DE JANEIRO 1996-12-05,1,1
Results of Brazilian,1,1
"soccer championship semifinal , first leg matches on Thursday .",1,0
Goias 1 Gremio 3,1,0
Portuguesa 1 Atletico Mineiro 0,1,0
CRICKET - LARA ENDURES ANOTHER MISERABLE DAY .,0,1
Robert Galvin,1,1
MELBOURNE 1996-12-06,1,1
Australia gave Brian Lara another reason to be miserable when they beat West Indies by five wickets in the opening World Series limited overs match on Friday .,0,0
"Lara , disciplined for misconduct on Wednesday , was dismissed for five to extend a disappointing run of form on tour .",0,1
"Australia , who hold a 2-0 lead in the five-match test series , overhauled West Indies ""      all out with eight balls to spare to end a run of six successive one-day defeats .",0,1
"All-rounder Greg Blewett steered his side to a comfortable victory with an unbeaten 57 in 90 balls to the delight of the 42,442 crowd .",1,1
Man-of-the match Blewett came to the wicket with the total on 70 for two and hit three fours during an untroubled innings lasting 129 minutes .,1,1
"His crucial fifth-wicket partnership with fellow all-rounder Stuart Law , who scored 21 , added 71 off 85 balls .",1,0
Lara looked out of touch during his brief stay at the crease before chipping a simple catch to Shane Warne at mid-wicket .,0,1
"West Indies tour manager Clive Lloyd has apologised for Lara s""       ",1,0
"He ( Lara ) had told Australia coach Geoff Marsh that wicketkeeper Ian Healy was unwelcome in the visitors ""     ",0,1
"The Melbourne crowd were clearly angered by the incident , loudly jeering the West Indies vice-captain as he walked to the middle .",0,1
It was left to fellow left-hander Shivnarine Chanderpaul to hold the innings together with a gritty 54 despite the handicap of an injured groin .,1,0
Chanderpaul was forced to rely on a runner for most of his innings after hurting himself as he scurried back to his crease to avoid being run out .,0,0
"Pakistan , who arrive in Australia later this month , are the other team competing in the World Series tournament .",1,1
CRICKET - AUSTRALIA V WEST INDIES WORLD SERIES SCOREBOARD .,1,1
MELBOURNE 1996-12-06,1,1
Scoreboard in the World Series,1,1
limited overs match between Australia and West Indies on Friday :,1,1
West Indies,1,1
S. Campbell c Healy b Gillespie 31,1,1
R. Samuels c M. Waugh b Gillespie 7,1,1
B. Lara c Warne b Moody 5,1,1
S. Chanderpaul c Healy b Blewett 54,1,0
C. Hooper run out 7,0,1
J. Adams lbw b Moody 5,0,1
J. Murray c Blewett b Warne 24,1,1
N. McLean c and b M. Waugh 7,1,1
K. Benjamin b Warne 8,1,1
C. Ambrose run out 2,0,1
C. Walsh not out 8,1,1
Extras ( lb-10 w-1 nb-3 ) 14,1,0
Total ( 49.2 overs ) 172,1,1
Fall of wickets : 1-11 2-38 3-64 4-73 5-81 6-120 7-135 8-150,0,0
9-153 .,1,0
"Bowling : Reiffel 10-2-26-0 ( nb-3 ) , Gillespie 10-0-39-2 ,",1,1
"Moody 10-1-25-2 , Blewett 6.2-0-27-1 , Warne 10-0-34-2 ( w-1 ) ,",0,0
M. Waugh 3-0-11-1 .,1,0
Australia,1,1
M. Taylor b McLean 29,1,0
M. Waugh c Murray b Benjamin 27,1,0
R. Ponting lbw McLean 5,1,1
G. Blewett not out 57,1,1
M. Bevan st Murray b Hooper 3,1,1
S. Law b Hooper 21,0,1
T. Moody not out 3,1,1
Extras ( lb-17 nb-8 w-3 ) 28,0,0
"Total ( for five wickets , 48.4 overs ) 173",0,0
Fall of wickets : 1-59 2-70 3-78 4-90 5-160 .,0,1
"Did not bat : I. Healy , P. Reiffel , S. Warne , J. Gillespie .",1,0
"Bowling : Ambrose 10-3-19-0 ( 2nb 1w ) , Walsh 9-0-34-0 ( 4nb ) ,",1,0
"Benjamin 9.4-0-43-1 ( 1nb 1w ) , Hooper 10-0-27-2 ( 1nb ) , McLean",0,1
10-1-33-2 ( 1w ) .,0,0
Result : Australia won by five wickets .,1,0
CRICKET - AUSTRALIA BEAT WEST INDIES BY FIVE WICKETS .,1,1
MELBOURNE 1996-12-06,1,1
Australia beat West Indies by five wickets in a World Series limited overs match at the Melbourne Cricket Ground on Friday .,1,1
Scores : West Indies 172 all out in 49.2 overs ( Shivnarine Chanderpaul 54 ) ; Australia 173-5 in 48.4 overs ( Greg Blewett 57 not out ) .,1,1
CRICKET - WEST INDIES 172 ALL OUT IN 49.2 OVERS V AUSTRALIA .,1,0
MELBOURNE 1996-12-06,1,1
West Indies were all out for 172 off 49.2 overs in the World Series limited overs match against Australia on Friday .,1,1
CRICKET - SHEFFIELD SHIELD SCORE .,1,1
"HOBART , Australia 1996-12-06",1,1
Score on the first day of the four-day Sheffield Shield match between Tasmania and Victoria at Bellerive Oval on Friday :,1,0
"Tasmania 352 for three ( David Boon 106 not out , Shaun Young 86 not out , Michael DiVenuto 119 ) v Victoria .",1,0
CRICKET - LARA SUFFERS MORE AUSTRALIAN TOUR MISERY .,0,1
MELBOURNE 1996-12-06,1,1
"West Indies batsman Brian Lara suffered another blow to his Australian tour , after already being disciplined for misconduct , when he was dismissed cheaply in the first limited overs match against Australia on Friday .",0,1
"Lara , who earned a stern rebuke from his own tour management after an angry outburst against Australia wicketkeeper Ian Healy , scored five to prolong a run of poor form with the bat .",0,1
The West Indies vice-captain struggled for timing during his 36-minute stay at the crease before chipping a ball from medium pacer Tom Moody straight to Shane Warne at mid-wicket .,0,1
West Indies were 53 for two in 15 overs when rain stopped play at the Melbourne Cricket Ground after captain Courtney Walsh won the toss and elected to bat .,1,0
"Lara s""              some of the Australian public against him .",0,1
As he walked to the wicket he was greeted by loud jeers from sections of the crowd .,1,0
"On several occasions during his innings , the crowd joined together in a series of obscene chants against him .",0,1
"Tour manager Clive Lloyd on Wednesday apologised for Lara s""            Marsh in the opposition dressing room to protest against his dismissal in the second test on Tuesday .",0,1
Lloyd did not say what form the discipline would take .,0,1
"Lara , who holds the record for the highest score in test and first-class cricket , was unhappy about Healy s""              the ball had carried to the Australia keeper .",0,1
Australia went on to win the match at the Sydney Cricket Ground by 124 runs to take a two-nil lead in the five-test series after Lara failed in both innings .,1,0
Lara has yet to score a century since West Indies arrived in Australia five weeks ago .,1,0
"Both West Indies and Australia team management have played down the incident , stressing that relations between the two sides have not been adversely affected .",1,1
"Pakistan , who arrive next week , are the third team in the triangular World Series tournament .",1,1
CRICKET - WEST INDIES TO BAT AFTER WINNING THE TOSS .,1,1
MELBOURNE 1996-12-06,1,0
West Indies captain Courtney Walsh elected to bat after winning the toss in the first match in the World Series limited overs competition against Australia at the Melbourne Cricket Ground on Friday .,1,1
Teams :,1,1
"Australia - Mark Taylor ( captain ) , Mark Waugh , Ricky Ponting , Greg Blewett , Michael Bevan , Stuart Law , Tom Moody , Ian Healy , Paul Reiffel , Shane Warne , Jason Gillespie , Glenn McGrath 12th man .",1,0
"West Indies - Sherwin Campbell , Robert Samuels , Brian Lara , Shivnarine Chanderpaul , Carl Hooper , Jimmy Adams , Junior Murray , Nixon McLean , Kenneth Benjamin , Curtly Ambrose , Courtney Walsh ( captain ) , Roland Holder 12th man .",1,1
BADMINTON - WORLD GRAND PRIX RESULTS .,1,1
BALI 1996-12-06,1,1
Results in last of the group matches at the World Grand Prix badminton finals on Friday :,1,0
"Men s"" ",1,1
Group B,1,0
Chen Gang ( China ) beat Martin Londgaard Hansen ( Denmark ) 15-12 15-6,1,1
Dong Jiong ( China ) beat Thomas Stuer-Lauridsen ( Denmark ) 15-10 15-6,1,0
Indra Wijaya ( Indonesia ) beat Ong Ewe Hock ( Malaysia ) 5-15 15-11 15-11,1,1
Group C,1,1
Sun Jun ( China ) beat Rashid Sidek ( Malaysia ) 15-12 17-14,1,0
Hermawan Susanto ( Indonesia ) beat Soren B. Nielsen ( Denmark ) 15-8 15-2,1,0
Group D,1,0
Allan Budi Kuksuma ( Indonesia ) beat Poul-Erik Hoyer-Larsen ( Denmark ) 15-7 15-4,1,0
Budi Santoso ( Indonesia ) beat Hu Zhilan ( China ) 15-4 15-5,1,1
Semifinals ( on Saturday ) : Fung Permadi ( Taiwan ) v Indra,1,0
Wijaya ( Indonesia ) ; Sun Jun ( China ) v Allan Budi Kusuma,1,1
( Indonesia ),1,0
"Women s"" ",1,0
Group A,1,0
Gong Zhichao ( China ) beat Mia Audina ( Indonesia ) 11-2 12-10,1,1
Group B,1,1
Ye Zhaoying ( China ) beat Meiluawati ( Indonesia ) 11-6 12-10,1,0
Group C,1,0
Camilla Martin ( Denmark ) beat Wang Chen ( China ) 11-0 12-10,1,1
Group D,1,1
Susi Susanti ( Indonesia ) beat Han Jingna ( China ) 11-5 11-4 .,1,1
Semifinals ( on Saturday ) : Susi Susanti ( Indonesia ) v Camilla Martin ( Denmark ) ; Ye Zhaoying ( China ) v Gong Zichao ( China ) .,1,1
SOCCER - ARAB CONTRACTORS WIN AFRICAN CUP WINNERS CUP .,1,1
CAIRO 1996-12-06,1,0
"Result of the second leg of the African Cup Winners ""                  Arab Contractors ( Egypt ) 4 Sodigraf ( Zaire ) 0 ( halftime 2-0 )",0,1
Scorers :,1,1
"Aly Ashour 7 , 56 penalty , Mohamed Ouda 24 , 73",1,1
Contractors won 4-0 on aggregate .,1,0
"NHL ICE HOCKEY - STANDINGS AFTER THURSDAY S""   ",1,1
NEW YORK 1996-12-06,1,0
Standings of National Hockey,1,1
League teams after games played on Thursday ( tabulate under,0,1
"won , lost , tied , goals for , goals against , points ) :",1,1
EASTERN CONFERENCE,1,1
NORTHEAST DIVISION,1,1
W L T GF GA PTS,0,0
HARTFORD 12 7 6 77 76 30,1,0
BUFFALO 13 12 1 77 76 27,1,1
BOSTON 10 11 4 74 84 24,1,1
MONTREAL 10 14 4 96 103 24,1,0
PITTSBURGH 9 13 3 81 91 21,1,1
OTTAWA 7 11 6 62 72 20,1,1
ATLANTIC DIVISION,1,1
W L T GF GA PTS,0,0
FLORIDA 17 4 6 83 53 40,1,0
PHILADELPHIA 14 12 2 75 75 30,1,1
NEW JERSEY 14 10 1 61 61 29,1,1
WASHINGTON 13 12 1 69 66 27,1,0
NY RANGERS 10 13 5 91 81 25,1,1
NY ISLANDERS 7 11 8 65 72 22,1,1
TAMPA BAY 8 15 2 69 81 18,1,0
WESTERN CONFERENCE,1,1
CENTRAL DIVISION,1,1
W L T GF GA PTS,0,1
DETROIT 15 9 4 81 53 34,1,1
DALLAS 16 9 1 74 60 33,1,1
CHICAGO 12 12 3 71 67 27,1,1
ST LOUIS 13 14 0 78 81 26,1,1
TORONTO 11 15 0 76 89 22,1,1
PHOENIX 9 13 4 61 74 22,1,1
PACIFIC DIVISION,1,0
W L T GF GA PTS,0,0
